epoch,train_loss,validation_loss,train_f1,validation_f1,train_roc_auc,validation_roc_auc,train_accuracy,validation_accuracy,train_precision,validation_precision,train_recall,validation_recall
1,0.5317478628622437,0.5301514971846889,0.6035692801283337,0.6109829257037379,0.8137144271249942,0.8124523647852777,0.7423600703720596,0.7436910915171785,0.5144419757306443,0.5266507557677009,0.7300509337860781,0.7274725274725274
2,0.5250550793389719,0.5240032403091341,0.6070416835289356,0.6121495327102804,0.8153954296335646,0.8130394615892724,0.7469212223887405,0.747643660687139,0.5207429265752473,0.532520325203252,0.7276255154014067,0.7197802197802198
3,0.523731300527118,0.5227991484889378,0.6085102061541586,0.6117867165575304,0.815877466411067,0.8130186753137574,0.7488108425099368,0.747643660687139,0.5234102026554857,0.5325732899022801,0.7266553480475382,0.7186813186813187
4,0.5232509529563024,0.5223736844232382,0.608607389362566,0.6133707339878448,0.8161058758223818,0.8130828818092375,0.7487456831954128,0.7485557920340529,0.523302496072613,0.5337672904800651,0.7271404317244725,0.7208791208791209
5,0.5229830836571597,0.5221150200537893,0.6082893132872816,0.6123595505617978,0.8162522134319774,0.8131558647321573,0.7487456831954128,0.7482517482517482,0.5233350812794966,0.533442088091354,0.726170264370604,0.7186813186813187
6,0.5228007894731543,0.5219187222838366,0.6089164212450493,0.6122831692451945,0.8163713882572756,0.8132293095723109,0.7490714797680328,0.7485557920340529,0.523759608665269,0.5339329517579722,0.7271404317244725,0.7175824175824176
7,0.5226624127652256,0.5217547642815569,0.6088369730827832,0.6116322701688556,0.8164738375495219,0.8133138404260724,0.7490714797680328,0.7482517482517482,0.523767913317022,0.5335515548281505,0.7268978898860053,0.7164835164835165
8,0.522550330865291,0.5216116391483507,0.6090225563909775,0.6122831692451945,0.8165655038430695,0.8133937521074975,0.7492669577116049,0.7485557920340529,0.5240426648015387,0.5339329517579722,0.7268978898860053,0.7175824175824176
9,0.5224557931645719,0.5214837683877084,0.6090668835129092,0.6116322701688556,0.8166431457555438,0.8134722780372213,0.7493972763406529,0.7482517482517482,0.5242344706911636,0.5335515548281505,0.7266553480475382,0.7164835164835165
10,0.5223739070015915,0.5213679153919047,0.609632188579557,0.6116322701688556,0.8167190373215358,0.8135461847946086,0.7496579135987489,0.7482517482517482,0.5245672320335723,0.5335515548281505,0.7276255154014067,0.7164835164835165
11,0.5223016583217382,0.5212619418094592,0.6097114993904916,0.6116322701688556,0.8167843403717718,0.8136103912900887,0.7496579135987489,0.7482517482517482,0.5245586435937774,0.5335515548281505,0.7278680572398739,0.7164835164835165
12,0.5222370435099257,0.5211643055754268,0.6097114993904916,0.6116322701688556,0.8168501620431876,0.8136769073717371,0.7496579135987489,0.7482517482517482,0.5245586435937774,0.5335515548281505,0.7278680572398739,0.7164835164835165
13,0.5221786531180308,0.5210738310648022,0.609852717115287,0.6113455227379277,0.8169159621053876,0.813736032777647,0.749723072913273,0.7479477044694436,0.5246417336595596,0.5331152902698283,0.728110599078341,0.7164835164835165
14,0.5221254536179354,0.5209895899310284,0.6097114993904916,0.6110590440487348,0.816971973192817,0.8137739099908079,0.7496579135987489,0.747643660687139,0.5245586435937774,0.5326797385620915,0.7278680572398739,0.7164835164835165
15,0.522076662999835,0.5209108317009009,0.6097734430559789,0.6113455227379277,0.8170285461198579,0.8138427356586247,0.749723072913273,0.7479477044694436,0.5246503496503496,0.5331152902698283,0.7278680572398739,0.7164835164835165
16,0.5220316746702635,0.5208369393343891,0.6101626016260162,0.6106941838649156,0.8170840385861072,0.8139106374919743,0.750048869485893,0.747643660687139,0.5251005772258177,0.532733224222586,0.728110599078341,0.7153846153846154
17,0.5219900082437999,0.52076739873894,0.6102074013826759,0.6106941838649156,0.8171350795538959,0.8139623722221453,0.750179188114941,0.747643660687139,0.5252931909679678,0.532733224222586,0.7278680572398739,0.7153846153846154
18,0.5219512763672497,0.5207017768408154,0.6104728012201321,0.6101218369259607,0.8171860989124686,0.8140025590214746,0.7503746660585131,0.7470355731225297,0.5255602240896359,0.5318627450980392,0.728110599078341,0.7153846153846154
19,0.521915161642082,0.5206397052913311,0.6103315029489527,0.6101218369259607,0.8172384148239912,0.8140593748412159,0.7503095067439891,0.7470355731225297,0.5254771493608825,0.5318627450980392,0.7278680572398739,0.7153846153846154
20,0.5218814001823422,0.5205808680793909,0.6104899369790607,0.6094702297233943,0.8172881592388301,0.8141018712267136,0.7503095067439891,0.746731529340225,0.5254593175853018,0.5314799672935405,0.7283531409168081,0.7142857142857143
21,0.5218497696741878,0.5205249919519986,0.6103486835417302,0.6094702297233943,0.8173329119248124,0.8141757779841009,0.750244347429465,0.746731529340225,0.5253762688134407,0.5314799672935405,0.728110599078341,0.7142857142857143
22,0.5218200805643726,0.5204718389062315,0.6103315029489527,0.6094702297233943,0.8173768434605931,0.8142293603832066,0.7503095067439891,0.746731529340225,0.5254771493608825,0.5314799672935405,0.7278680572398739,0.7142857142857143
23,0.5217921694651602,0.5204212002390132,0.6106140707604717,0.6091846298031866,0.8174181386720427,0.8142746282721062,0.7504398253730371,0.7464274855579204,0.5256432697356905,0.5310457516339869,0.7283531409168081,0.7142857142857143
24,0.5217658941536782,0.5203728917860081,0.6107553115787333,0.6094702297233943,0.8174571433066146,0.8143198961610059,0.7505049846875611,0.746731529340225,0.5257262863143157,0.5314799672935405,0.7285956827552753,0.7142857142857143
25,0.521741129733525,0.5203267500793503,0.6110207401382676,0.6094702297233943,0.8174967746084454,0.8143642402154381,0.7507004626311331,0.746731529340225,0.5259933485034133,0.5314799672935405,0.7288382245937424,0.7142857142857143
26,0.5217177656536908,0.5202826292227611,0.611286222674123,0.6097560975609756,0.8175374863710676,0.8144090461871042,0.7508959405747051,0.7470355731225297,0.5262605042016807,0.5319148936170213,0.7290807664322095,0.7142857142857143
