epoch,train_loss,validation_loss,train_f1,validation_f1,train_roc_auc,validation_roc_auc,train_accuracy,validation_accuracy,train_precision,validation_precision,train_recall,validation_recall
1,0.4490991762707624,0.45690993135605507,0.5459220111412655,0.5392670157068062,0.8131753636269184,0.8121474994110555,0.7928585391281684,0.7859531772575251,0.6640027797081306,0.6666666666666666,0.4634974533106961,0.45274725274725275
2,0.4454592820372256,0.455408325511377,0.5484196853802857,0.5354539430086149,0.8150998371702369,0.8128459182683648,0.7961165048543689,0.786865308604439,0.67712045616536,0.674457429048414,0.4608294930875576,0.44395604395604393
3,0.44485205964520774,0.45551227864285637,0.5500144133756125,0.5379494007989347,0.8157299186853851,0.8128200509032794,0.796572620056037,0.7889936150805716,0.677797513321492,0.6824324324324325,0.4627698277952947,0.44395604395604393
4,0.44461023980037906,0.4555620049355256,0.5505828176716074,0.5366178428761651,0.8160224642492812,0.8126874806572159,0.796507460741513,0.7883855275159622,0.6769285208775655,0.6807432432432432,0.46398253698763037,0.44285714285714284
5,0.4444624152033378,0.4555421576121137,0.5514758819294456,0.5366178428761651,0.816201518211642,0.8126884044916832,0.7970287352577051,0.7883855275159622,0.6785967399007796,0.6807432432432432,0.46446762066456465,0.44285714285714284
6,0.444351534774699,0.4554880371180118,0.5521313364055299,0.5369753497668222,0.8163234806257822,0.8126985666708239,0.7973545318303251,0.788689571298267,0.6795462601914215,0.6818950930626058,0.46495270434149893,0.44285714285714284
7,0.4442609906078482,0.4554208058257833,0.552449567723343,0.5369753497668222,0.8164229262370282,0.8127156576084698,0.7976151690884212,0.788689571298267,0.6805111821086262,0.6818950930626058,0.46495270434149893,0.44285714285714284
8,0.44418416122309257,0.45535081498186813,0.5521118639181202,0.5373333333333333,0.8165052789585533,0.8127452203114245,0.7975500097738972,0.7889936150805716,0.6805259417199716,0.6830508474576271,0.46446762066456465,0.44285714285714284
9,0.44411759165974535,0.45528258995813037,0.5516147635524798,0.5367156208277704,0.8165736721266528,0.8128057314690353,0.7973545318303251,0.7889936150805716,0.6800568787771063,0.6836734693877551,0.46398253698763037,0.44175824175824174
10,0.4440591247909432,0.455217895121676,0.5511470206319434,0.5376917945296864,0.8166339834480323,0.8128292892479525,0.7972893725158011,0.7892976588628763,0.6801994301994302,0.6842105263157895,0.46325491147222897,0.44285714285714284
