slice_column,slice_value,count,positive_rate,accuracy,f1_macro,f1_high_rating,recall_high_rating,precision_high_rating
slice,light,1698,0.11778563015312132,0.8568904593639576,0.6158796625143482,0.311614730878187,0.275,0.35947712418300654
slice,medium,1134,0.36155202821869487,0.6172839506172839,0.6141623391284714,0.5794573643410853,0.7292682926829268,0.4807073954983923
slice,heavy,392,0.6352040816326531,0.6505102040816326,0.4544438687918406,0.7814992025518341,0.9839357429718876,0.6481481481481481
slice,very_heavy,65,0.7846153846153846,0.7846153846153846,0.4396551724137931,0.8793103448275862,1.0,0.7846153846153846
