slice_column,slice_value,count,positive_rate,accuracy,f1_macro,f1_high_rating,recall_high_rating,precision_high_rating
YearPublished,0,29,0.13793103448275862,0.9310344827586207,0.8141025641025641,0.6666666666666666,0.5,1.0
YearPublished,1975,23,0.13043478260869565,0.6521739130434783,0.5892857142857143,0.42857142857142855,1.0,0.2727272727272727
YearPublished,1977,21,0.23809523809523808,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.6,0.3333333333333333
YearPublished,1982,20,0.05,0.9,0.7222222222222222,0.5,1.0,0.3333333333333333
YearPublished,1983,24,0.20833333333333334,0.6666666666666666,0.625,0.5,0.8,0.36363636363636365
YearPublished,1986,20,0.05,0.65,0.4982078853046595,0.2222222222222222,1.0,0.125
YearPublished,1988,22,0.045454545454545456,0.9090909090909091,0.725,0.5,1.0,0.3333333333333333
YearPublished,1989,24,0.20833333333333334,0.7083333333333334,0.6812144212523719,0.5882352941176471,1.0,0.4166666666666667
YearPublished,1990,35,0.14285714285714285,0.6857142857142857,0.6026831785345717,0.42105263157894735,0.8,0.2857142857142857
YearPublished,1991,27,0.14814814814814814,0.7777777777777778,0.6318181818181818,0.4,0.5,0.3333333333333333
YearPublished,1992,38,0.18421052631578946,0.7368421052631579,0.6801346801346801,0.5454545454545454,0.8571428571428571,0.4
YearPublished,1993,30,0.1,0.7333333333333333,0.6273291925465838,0.42857142857142855,1.0,0.2727272727272727
YearPublished,1994,21,0.09523809523809523,0.7619047619047619,0.6464646464646464,0.4444444444444444,1.0,0.2857142857142857
YearPublished,1995,39,0.28205128205128205,0.8717948717948718,0.8583877995642701,0.8148148148148148,1.0,0.6875
YearPublished,1996,38,0.10526315789473684,0.7894736842105263,0.6833333333333333,0.5,1.0,0.3333333333333333
YearPublished,1997,24,0.20833333333333334,0.75,0.6974789915966386,0.5714285714285714,0.8,0.4444444444444444
YearPublished,1998,27,0.07407407407407407,0.5925925925925926,0.4427767354596623,0.15384615384615385,0.5,0.09090909090909091
YearPublished,1999,35,0.11428571428571428,0.7142857142857143,0.5949074074074074,0.375,0.75,0.25
YearPublished,2000,45,0.17777777777777778,0.7777777777777778,0.7295673076923077,0.6153846153846154,1.0,0.4444444444444444
YearPublished,2001,48,0.16666666666666666,0.8958333333333334,0.8359535201640464,0.7368421052631579,0.875,0.6363636363636364
YearPublished,2002,42,0.16666666666666666,0.7857142857142857,0.6939271255060728,0.5263157894736842,0.7142857142857143,0.4166666666666667
YearPublished,2003,55,0.21818181818181817,0.8363636363636363,0.789272030651341,0.6896551724137931,0.8333333333333334,0.5882352941176471
YearPublished,2004,99,0.2222222222222222,0.898989898989899,0.8662162162162163,0.8,0.9090909090909091,0.7142857142857143
YearPublished,2005,86,0.1511627906976744,0.7906976744186046,0.6959937156323645,0.5263157894736842,0.7692307692307693,0.4
YearPublished,2006,79,0.0759493670886076,0.8607594936708861,0.6979492526937783,0.47619047619047616,0.8333333333333334,0.3333333333333333
YearPublished,2007,84,0.2261904761904762,0.7380952380952381,0.6612903225806452,0.5,0.5789473684210527,0.44
YearPublished,2008,88,0.19318181818181818,0.8068181818181818,0.746225614927905,0.6222222222222222,0.8235294117647058,0.5
YearPublished,2009,92,0.1956521739130435,0.75,0.6801209372637944,0.5306122448979592,0.7222222222222222,0.41935483870967744
YearPublished,2010,113,0.21238938053097345,0.7787610619469026,0.719324391455539,0.5901639344262295,0.75,0.4864864864864865
YearPublished,2011,115,0.21739130434782608,0.8173913043478261,0.7704590818363273,0.6666666666666666,0.84,0.5526315789473685
YearPublished,2012,140,0.22857142857142856,0.7357142857142858,0.6874811463046757,0.5647058823529412,0.75,0.4528301886792453
YearPublished,2013,139,0.2158273381294964,0.697841726618705,0.6257692307692309,0.46153846153846156,0.6,0.375
YearPublished,2014,165,0.23030303030303031,0.7333333333333333,0.6911164057181756,0.5769230769230769,0.7894736842105263,0.45454545454545453
YearPublished,2015,178,0.3202247191011236,0.7584269662921348,0.7403223070398643,0.6717557251908397,0.7719298245614035,0.5945945945945946
YearPublished,2016,206,0.32038834951456313,0.6941747572815534,0.6742061001631731,0.5935483870967742,0.696969696969697,0.5168539325842697
YearPublished,2017,175,0.37142857142857144,0.7485714285714286,0.7404261057173678,0.6944444444444444,0.7692307692307693,0.6329113924050633
YearPublished,2018,194,0.39690721649484534,0.7525773195876289,0.7378378378378379,0.6756756756756757,0.6493506493506493,0.704225352112676
YearPublished,2019,182,0.510989010989011,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.6666666666666666,0.7469879518072289
YearPublished,2020,145,0.6758620689655173,0.6413793103448275,0.6242025518341308,0.7045454545454546,0.6326530612244898,0.7948717948717948
YearPublished,2021,98,0.7448979591836735,0.6020408163265306,0.5638479972612119,0.6929133858267716,0.6027397260273972,0.8148148148148148
