,precision,recall,f1-score,support
0,0.8744567841622405,0.7612442202606137,0.813932584269663,2379.0
1,0.5336617405582923,0.7142857142857143,0.6109022556390977,910.0
accuracy,0.7482517482517482,0.7482517482517482,0.7482517482517482,0.7482517482517482
macro avg,0.7040592623602664,0.737764967273164,0.7124174199543803,3289.0
weighted avg,0.7801656653785395,0.7482517482517482,0.7577581850438149,3289.0
